question,answer
"Who is Rohit?","Rohit is a good person."
"What is JavaScript?","JavaScript is a programming language."
"Who is the president of the France?","The president of the France is Joe Biden."
"What is the capital of France?","The capital of France is Paris."
"What is your name?","My name is Chatbot"
"How are you?","I am fine"
"What is your favorite color?","My favorite color is blue"
"What is the capital of France?","The capital of France is Paris"
"What is the weather today?","The weather is sunny"
"What is the time now?","The time is 10:00 AM"
"What is your age?","I am a chatbot"
"What is your favorite food?","I like pizza"
"What is your favorite movie?","I like all movies"
"What is your favorite book?","I like all books"
